# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
425	-5.56114	0.00892904	1.56778	0.0465995
426	-5.56088	0.0089119	1.56818	0.0464921
427	-5.56074	0.00889213	1.56803	0.0463837
428	-5.56075	0.00887136	1.56827	0.0462762
429	-5.56066	0.00885114	1.56858	0.0461696
430	-5.56056	0.00883106	1.56901	0.0460645
431	-5.56041	0.00881194	1.56963	0.0459621
432	-5.56026	0.00879278	1.57027	0.0458603
433	-5.56016	0.00877308	1.57119	0.0457638
434	-5.55992	0.00875601	1.57155	0.0456601
435	-5.55982	0.00873647	1.57167	0.0455555
436	-5.55977	0.00871657	1.57261	0.0454609
437	-5.5595	0.0087008	1.57197	0.0453616
438	-5.55959	0.00868138	1.57194	0.0452583
439	-5.55953	0.00866182	1.57187	0.0451555
440	-5.55948	0.00864224	1.57116	0.0450587
441	-5.55961	0.0086236	1.57043	0.0449627
442	-5.55974	0.00860508	1.569	0.044884
443	-5.56004	0.00859075	1.56846	0.0447861
444	-5.5601	0.00857163	1.56762	0.0446934
445	-5.56026	0.00855389	1.56692	0.0445987
446	-5.56039	0.0085356	1.56636	0.0445024
447	-5.56052	0.00851754	1.56561	0.0444093
448	-5.56066	0.00849968	1.5651	0.0443134
449	-5.56075	0.0084812	1.56401	0.0442283
450	-5.56092	0.00846413	1.56225	0.0441652
451	-5.56125	0.00845163	1.56115	0.0440813
452	-5.56145	0.00843538	1.56093	0.0439846
453	-5.56147	0.00841678	1.56115	0.0438882
454	-5.56142	0.0083984	1.56122	0.0437918
455	-5.56138	0.00838004	1.56126	0.0436958
456	-5.56136	0.00836168	1.56175	0.0436029
457	-5.56127	0.00834385	1.56256	0.0435152
458	-5.56106	0.00832836	1.5632	0.0434251
459	-5.56091	0.00831155	1.56319	0.0433307
460	-5.56089	0.0082935	1.56334	0.043237
461	-5.56087	0.00827555	1.5639	0.0431471
462	-5.56075	0.00825847	1.56358	0.043055
463	-5.56083	0.00824104	1.56323	0.0429637
464	-5.56092	0.00822372	1.56251	0.0428774
465	-5.56112	0.00820844	1.56285	0.0427868
466	-5.56109	0.00819086	1.56395	0.0427094
467	-5.56085	0.00817699	1.56485	0.0426276
468	-5.56069	0.00816104	1.56559	0.0425432
469	-5.56054	0.00814497	1.56658	0.0424641
470	-5.56036	0.00812976	1.56802	0.0423982
471	-5.56007	0.00811757	1.56886	0.0423167
472	-5.55984	0.00810365	1.56997	0.0422419
473	-5.55959	0.00809029	1.57127	0.0421728
474	-5.55936	0.00807654	1.57157	0.0420851
475	-5.55934	0.00805956	1.57267	0.0420111
476	-5.55917	0.00804439	1.5738	0.0419381
477	-5.559	0.0080293	1.57501	0.0418679
478	-5.55884	0.00801418	1.57572	0.0417866
479	-5.55878	0.00799765	1.57609	0.0417012
480	-5.55876	0.00798102	1.57612	0.0416145
481	-5.55879	0.00796447	1.57627	0.0415284
482	-5.55876	0.00794798	1.57717	0.0414522
483	-5.55861	0.00793302	1.57765	0.0413692
484	-5.55854	0.00791691	1.57764	0.0412839
485	-5.55855	0.00790059	1.57671	0.0412095
486	-5.55876	0.00788718	1.57555	0.041141
487	-5.55906	0.00787668	1.57513	0.0410589
488	-5.55919	0.0078616	1.57414	0.0409867
489	-5.55941	0.00784874	1.5736	0.0409066
490	-5.55956	0.00783412	1.57343	0.0408237
491	-5.55956	0.00781816	1.57358	0.040741
492	-5.55952	0.00780238	1.57394	0.0406599
493	-5.55943	0.00778709	1.5747	0.0405847
494	-5.55923	0.00777379	1.57629	0.0405338
495	-5.55889	0.00776579	1.57777	0.0404791
496	-5.55854	0.00775786	1.57934	0.0404283
497	-5.55817	0.00775091	1.58063	0.0403677
498	-5.55783	0.00774297	1.58176	0.0403025
499	-5.55756	0.00773215	1.58188	0.040222
500	-5.55751	0.00771688	1.58295	0.0401559
501	-5.55725	0.00770576	1.5838	0.0400848
502	-5.55703	0.00769341	1.58401	0.0400057
503	-5.557	0.00767821	1.58335	0.0399317
504	-5.55713	0.0076642	1.58363	0.0398537
505	-5.5571	0.00764912	1.58373	0.039775
506	-5.55706	0.00763407	1.58406	0.039698
507	-5.55695	0.00761992	1.58445	0.0396217
508	-5.55684	0.0076056	1.58466	0.0395444
509	-5.55681	0.00759072	1.58497	0.0394681
510	-5.55674	0.00757619	1.5858	0.0393996
511	-5.55656	0.0075636	1.58659	0.0393305
512	-5.55642	0.00755	1.58625	0.0392553
513	-5.55651	0.00753583	1.58609	0.0391792
514	-5.55657	0.00752134	1.58585	0.0391039
515	-5.55661	0.00750688	1.58543	0.0390303
516	-5.55671	0.00749298	1.58575	0.0389561
517	-5.55669	0.00747852	1.58633	0.0388853
518	-5.5566	0.00746455	1.58727	0.0388217
519	-5.55642	0.0074525	1.58845	0.038765
520	-5.55621	0.00744102	1.5891	0.038696
521	-5.55613	0.00742716	1.5905	0.0386472
522	-5.55589	0.00741675	1.5914	0.0385839
523	-5.55569	0.00740524	1.59213	0.0385172
524	-5.55548	0.00739421	1.59174	0.0384459
525	-5.55555	0.00738051	1.59183	0.0383729
526	-5.55551	0.00736663	1.59225	0.0383024
527	-5.55541	0.00735328	1.59238	0.0382301
528	-5.55538	0.00733941	1.59208	0.038159
529	-5.55546	0.00732597	1.59206	0.038087
530	-5.5555	0.00731226	1.59171	0.0380169
531	-5.55557	0.0072988	1.59154	0.0379459
532	-5.5556	0.00728514	1.59218	0.0378801
533	-5.5554	0.00727418	1.59306	0.0378195
534	-5.55516	0.00726433	1.5937	0.0377542
535	-5.555	0.00725259	1.59353	0.0376842
536	-5.55499	0.00723906	1.59364	0.0376142
537	-5.55492	0.00722598	1.59413	0.0375474
538	-5.55476	0.00721421	1.59422	0.0374779
539	-5.55472	0.00720096	1.5948	0.0374129
540	-5.55455	0.00718959	1.59605	0.0373646
541	-5.55422	0.00718382	1.59686	0.0373044
542	-5.554	0.00717393	1.59752	0.0372416
543	-5.55383	0.00716268	1.5988	0.0371951
544	-5.55353	0.00715602	1.59974	0.0371388
