# Blocco	Energia Media	Errore Energia	Pressione Media	Errore Pressione
349	-0.413805	0.00264897	0.0486494	0.000395048
350	-0.41363	0.00264718	0.048691	0.000396097
351	-0.413193	0.00267537	0.0487275	0.000396652
352	-0.413057	0.00267126	0.0487276	0.000395525
353	-0.412951	0.00266578	0.0487582	0.000395586
354	-0.412845	0.00266037	0.048808	0.000397599
355	-0.412684	0.00265775	0.0488252	0.00039685
356	-0.412592	0.00265185	0.0488277	0.000395743
357	-0.412567	0.00264454	0.0488493	0.000395223
358	-0.412557	0.00263717	0.0488705	0.00039469
359	-0.412522	0.00263006	0.0488764	0.000393634
360	-0.412377	0.00262675	0.0488953	0.000392997
361	-0.412387	0.00261949	0.0489011	0.000391951
362	-0.412278	0.00261453	0.0489128	0.000391041
363	-0.412316	0.0026076	0.0489273	0.000390236
364	-0.412285	0.00260061	0.0489447	0.00038955
365	-0.412209	0.00259461	0.0489171	0.000389457
366	-0.412166	0.00258788	0.0488838	0.000389819
367	-0.412114	0.00258135	0.0488483	0.000390371
368	-0.412112	0.00257434	0.0488216	0.000390222
369	-0.412276	0.00257257	0.0488074	0.000389421
370	-0.412515	0.0025767	0.0488121	0.000388397
371	-0.412707	0.00257685	0.0487987	0.000387584
372	-0.412697	0.00256994	0.0488014	0.000386552
373	-0.412702	0.00256306	0.0487804	0.000386088
374	-0.412689	0.00255623	0.0487563	0.000385804
375	-0.412669	0.00254949	0.0487494	0.000384837
376	-0.412517	0.00254727	0.0487277	0.000384426
377	-0.412283	0.00255118	0.0487898	0.000388395
378	-0.412145	0.00254821	0.0488081	0.000387798
379	-0.412035	0.00254385	0.0487916	0.000387126
380	-0.411992	0.00253752	0.0487856	0.000386153
381	-0.411809	0.00253748	0.0487992	0.00038538
382	-0.411765	0.00253121	0.0487732	0.00038525
383	-0.411742	0.00252471	0.0487911	0.000384662
384	-0.41177	0.00251829	0.0488082	0.000384038
385	-0.411845	0.00251286	0.0488215	0.000383271
386	-0.411609	0.00251739	0.048856	0.000383827
387	-0.41156	0.00251135	0.0488554	0.000382836
388	-0.411585	0.002505	0.0488348	0.000382403
389	-0.411499	0.00250006	0.048837	0.000381426
390	-0.411409	0.00249526	0.0488409	0.000380468
391	-0.411556	0.00249318	0.0488234	0.000379898
392	-0.411483	0.00248788	0.0488078	0.000379247
393	-0.411566	0.00248294	0.0487997	0.000378369
394	-0.411465	0.00247869	0.0487862	0.00037765
395	-0.411247	0.00248203	0.0487797	0.000376749
396	-0.411031	0.00248511	0.0488158	0.000377518
397	-0.410859	0.0024848	0.0488649	0.000379754
398	-0.410825	0.00247878	0.0488641	0.0003788
399	-0.410779	0.00247299	0.0488591	0.000377884
