#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
         477   -0.468829   -0.462847  0.00026783
         478   -0.462872   -0.462847  0.00026727
         479   -0.455104   -0.462831 0.000267201
         480   -0.457413    -0.46282 0.000266882
         481   -0.455939   -0.462805  0.00026671
         482   -0.455706   -0.462791 0.000266564
         483   -0.467102     -0.4628 0.000266161
         484   -0.452644   -0.462779 0.000266437
         485   -0.464098   -0.462781 0.000265901
         486   -0.469035   -0.462794 0.000265665
         487   -0.460468   -0.462789 0.000265163
         488   -0.460294   -0.462784 0.000264669
         489   -0.465981   -0.462791 0.000264208
         490   -0.468042   -0.462802 0.000263886
         491   -0.469338   -0.462815 0.000263684
         492   -0.456854   -0.462803 0.000263427
         493   -0.469396   -0.462816 0.000263232
         494   -0.460518   -0.462812  0.00026274
         495   -0.473638   -0.462833 0.000263118
         496   -0.461378    -0.46283 0.000262604
         497   -0.460567   -0.462826 0.000262115
         498   -0.459887    -0.46282 0.000261655
         499   -0.458907   -0.462812 0.000261248
         500   -0.478097   -0.462843 0.000262508
